knob,field,value_ft,is_baseline,tag,universe_units,corridors,intersections,crashes_assigned,crashes_dropped,priority_units_n,holdout_casualties,r1_pp,r2_pp,r3_pp,lift_pp,ci_low_pp,ci_high_pp,clears_bar,seconds
corridor join distance,max_join_distance_ft,100.0,False,j100-i100-v50,220033,136537,83496,1403433,137713,38909,17956,48.746936957006014,64.34061038093117,82.9583426152818,18.617732234350626,17.72869854129001,19.487760455303178,True,45.5
corridor join distance,max_join_distance_ft,150.0,True,j150-i100-v50,220033,136537,83496,1405552,135594,38909,18059,48.74024032338446,64.11207708068,82.5350240877125,18.422947007032505,17.53611847059296,19.295322248719998,True,46.2
corridor join distance,max_join_distance_ft,250.0,False,j250-i100-v50,220033,136537,83496,1406898,134248,38909,18103,48.68253880572281,63.994917969397335,82.36203944097663,18.367121471579296,17.48585275181794,19.235079845117358,True,45.4
intersection radius,intersection_radius_ft,50.0,False,j150-i50-v50,220033,136537,83496,1405552,135594,38909,18059,49.3991915388449,61.94141425328091,78.01650146741237,16.075087214131457,15.22536510967313,16.899844734356215,True,45.2
intersection radius,intersection_radius_ft,100.0,True,j150-i100-v50,220033,136537,83496,1405552,135594,38909,18059,48.74024032338446,64.11207708068,82.5350240877125,18.422947007032505,17.53611847059296,19.295322248719998,True,46.2
intersection radius,intersection_radius_ft,150.0,False,j150-i150-v50,220033,136537,83496,1405552,135594,38909,18059,48.28063569411374,66.50423611495653,86.38905808738025,19.884821972423723,18.977763741012488,20.784855570731303,True,46.0
VZV label buffer,vzv_buffer_ft,25.0,False,j150-i100-v25,220033,136537,83496,1405552,135594,35461,18059,47.57738523727782,63.392214408328265,80.50833379478377,17.1161193864555,16.260877088448527,17.954465172915775,True,46.0
VZV label buffer,vzv_buffer_ft,50.0,True,j150-i100-v50,220033,136537,83496,1405552,135594,38909,18059,48.74024032338446,64.11207708068,82.5350240877125,18.422947007032505,17.53611847059296,19.295322248719998,True,46.2
VZV label buffer,vzv_buffer_ft,100.0,False,j150-i100-v100,220033,136537,83496,1405552,135594,43111,18059,49.4158037543607,64.97591228750208,84.62262583753252,19.64671355003044,18.75141298682592,20.543568802159918,True,159.2
